Name,CountryOperatorOwner,OperatorOwner,Users,Purpose,ApogeeKM,LaunchMassKG,DateOfLaunch,LaunchSite
"SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3, USA 181, NRO L23, Intruder) ",USA,National Reconnaissance Office/US Navy,Military,Earth Observation,1203,5000+,2/3/2005,Cape Canaveral
"SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3, USA 181, NRO L23, Intruder) ",USA,National Reconnaissance Office/US Navy,Military,Earth Observation,1203,5000+,2/3/2005,Cape Canaveral
"SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4, USA 194, NRO L30, Intruder)",USA,National Reconnaissance Office/US Navy,Military,Earth Observation,1200,5000+,6/15/2007,Cape Canaveral
"SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4, USA 194, NRO L30, Intruder)",USA,National Reconnaissance Office/US Navy,Military,Earth Observation,1201,5000+,6/15/2007,Cape Canaveral
"SB-WASS 3-5 (Space Based Wide Area Surveillance System) NOSS 3-5, USA 229, NRO L34, Intruder)",USA,National Reconnaissance Office/US Navy,Military,Earth Observation,1205,,4/15/2011,Vandenberg AFB
"SB-WASS 3-5 (Space Based Wide Area Surveillance System) NOSS 3-5, USA 229, NRO L34, Intruder)",USA,National Reconnaissance Office/US Navy,Military,Earth Observation,1201,5000+,4/15/2011,Vandenberg AFB
"SB-WASS 3-6 (Space Based Wide Area Surveillance System) NOSS 3-6, USA 238, NRO L36, Intruder)",USA,National Reconnaissance Office/US Navy,Military,Earth Observation,1203,6500,9/13/2012,Vandenberg AFB
"SB-WASS 3-6 (Space Based Wide Area Surveillance System) NOSS 3-6, USA 238, NRO L36, Intruder)",USA,National Reconnaissance Office/US Navy,Military,Earth Observation,1203,6500,9/13/2012,Vandenberg AFB
"SB-WASS 3-7 (Space Based Wide Area Surveillance System) NOSS 3-7, USA 264, NRO L55, Intruder)",USA,National Reconnaissance Office/US Navy,Military,Earth Observation,1099,6500,10/8/2015,Vandenberg AFB
"SB-WASS 3-7 (Space Based Wide Area Surveillance System) NOSS 3-7, USA 264, NRO L55, Intruder)",USA,National Reconnaissance Office/US Navy,Military,Earth Observation,1099,6500,10/8/2015,Vandenberg AFB
ScatSat-1,India,Indian Space Research Organization (ISRO),Government,Earth Observation,731,371,9/26/2016,Satish Dhawan Space Center
SCD-1 (Satélite de Coleta de Dados),Brazil,Instituto Nacional de Pesquisas Espaciais (INPE),Government,Earth Observation,776,110,2/9/1993,Cape Canaveral
SCD-2 (Satélite de Coleta de Dados),Brazil,Instituto Nacional de Pesquisas Espaciais (INPE),Government,Earth Observation,760,110,10/23/1998,Cape Canaveral
Scisat-1 (Atmospheric Chemistry Experiment),Canada,Canadian Space Agency,Government,Space Science,649,150,8/12/2003,Vandenberg AFB
SDO (Solar Dynamics Observatory),USA,National Aeronautics and Space Administration (NASA),Government,Space Science,35791,3100,2/11/2010,Cape Canaveral
"SDS III-4 (Satellite Data System) (NRO L-1, USA 179, Quasar) ",USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,39850,,8/31/2004,Cape Canaveral
