Name,CountryOperatorOwner,OperatorOwner,Users,Purpose,ApogeeKM,LaunchMassKG,DateOfLaunch,LaunchSite
Eutelsat 7A (Eutelsat W3A),Multinational,Eutelsat S.A.,Commercial,Communications,35802,4300,3/15/2004,Baikonur Cosmodrome
Eutelsat 7B,Multinational,Eutelsat S.A.,Commercial,Communications,35794,5404,5/14/2013,Baikonur Cosmodrome
Eutelsat 8 West A (Atlantic Bird 2),Multinational,Eutelsat S.A.,Commercial,Communications,35806,3150,9/25/2001,Guiana Space Center
Eutelsat 8 West B,Multinational,Eutelsat S.A./Nilesat,Commercial,Communications,35814,5800,8/20/2015,Guiana Space Center
"Eutelsat 8 West C (Eutelsat Hot Bird 13A, Hot Bird 6)",Multinational,Eutelsat S.A.,Commercial,Communications,35815,3800,8/28/2002,Cape Canaveral
"Eutelsat 9A (Eurobird 9A, Hot Bird 7A)",Multinational,Eutelsat S.A.,Commercial,Communications,35799,4100,3/11/2006,Guiana Space Center
"Eutelsat Hot Bird  13D (Eutelsat 3C, Hot Bird 10, Atlantic Bird 4A)",Multinational,Eutelsat S.A.,Commercial,Communications,35806,4892,2/11/2009,Guiana Space Center
Eutelsat Hot Bird 13B (Hot Bird 8),Multinational,Eutelsat S.A.,Commercial,Communications,35812,4900,8/4/2006,Baikonur Cosmodrome
Eutelsat Hot Bird 13C (Hot Bird 9),Multinational,Eutelsat S.A.,Commercial,Communications,35787,4880,12/20/2008,Guiana Space Center
Eutelsat Hot Bird 13E (Eutelsat 9B),Multinational,Eutelsat S.A.,Commercial,Communications,35792,5200,1/29/2016,Baikonur Cosmodrome
Eutelsat KA-SAT 9A (KA-SAT),Multinational,Eutelsat S.A.,Commercial,Communications,35856,6150,12/26/2010,Baikonur Cosmodrome
exactView 1,Canada,exactEarth,Commercial,Communications,821,100,7/22/2012,Baikonur Cosmodrome
exactView 6 (AprizeSat 6),Canada,exactEarth,Commercial,Communications,694,12,8/17/2011,Dombarovsky Air Base
exactView 9,Canada,exactEarth,Commercial,Communications,649,6,9/28/2015,Satish Dhawan Space Centre
Express AM22 (Sesat 2),Russia/Multinational,Russian Satellite Communications Company (Intersputnik)/EUTELSAT,Commercial,Communications,35790,2600,12/28/2003,Baikonur Cosmodrome
Express AMU1 (Eutelsat 36C),Russia,Russian Satelite Communications Company (Intersputnik),Commercial,Communications,35795,2700,12/24/2015,Baikonur Cosmodrome
"Express-A1R (Express 4A, Ekspress-A No. 4)",Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,35798,2600,6/10/2002,Baikonur Cosmodrome
Express-AM2,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,35788,2542,3/29/2005,Baikonur Cosmodrome
Express-AM3,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,35795,2600,6/24/2005,Baikonur Cosmodrome
Express-AM33,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,35791,2600,1/28/2008,Baikonur Cosmodrome
Express-AM44,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,35995,2532,2/11/2009,Baikonur Cosmodrome
Express-AM5,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,35940,3400,12/26/2013,Baikonur Cosmodrome
Express-AM6,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,37636,3358,10/21/2014,Baikonur Cosmodrome
Express-AM7,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,35796,5720,3/18/2015,Baikonur Cosmodrome
Express-AM8,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,35788,2100,9/14/2015,Baikonur Cosmodrome
Express-AT1,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,35804,1726,3/15/2014,Baikonur Cosmodrome
Express-AT2,Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,35715,1427,3/15/2014,Baikonur Cosmodrome
Falconsat-3,USA,US Air Force Academy,Military/Civil,Technology Development,540,46,3/9/2007,Cape Canaveral
"FAST 1 (Sara Lilly and Emma, USA 222)",USA,University of Texas - Austin,Civil,Technology Development,654,55,11/20/2010,Kodiak Launch Complex
Fengniao 1A (Hummingbird 1A),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,500,160,11/20/2012,Taiyuan Launch Center
Fengyun 2D (FY-2D),China,China Meteorological Administration,Government,Earth Observation,35791,1390,12/8/2006,Xichang Satellite Launch Center
Fengyun 2E (FY-2E),China,China Meteorological Administration,Government,Earth Observation,35803,1390,12/23/2008,Xichang Satellite Launch Center
Fengyun 2F (FY-2F),China,China Meteorological Administration,Government,Earth Observation,35816,1390,1/12/2012,Xichang Satellite Launch Center
Fengyun 2G (FY 2G),China,China Meteorological Administration,Government,Earth Observation,35800,1390,12/31/2014,Xichang Satellite Launch Center
Fengyun 3A (FY-3A),China,China Meteorological Administration,Government,Earth Observation,835,2300,5/27/2008,Taiyuan Launch Center
Fengyun 3B (FY-3B),China,China Meteorological Administration,Government,Earth Observation,828,2300,11/4/2010,Taiyuan Launch Center
Fengyun 3C (FY-3C),China,China Meteorological Administration,Government,Earth Observation,828,2300,9/23/2013,Taiyuan Launch Center
Fermi Gamma-Ray Space Telescope (formerly GLAST),USA,NASA/GSFC,Government,Space Science,556,4303,6/11/2008,Cape Canaveral
"FIA Radar 1 (Future Imagery Architecture (FIA) Radar 1, NROL-41, USA 215, Topaz)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,1107,,9/21/2010,Vandenberg AFB
"FIA Radar 2 (Future Imagery Architecture (FIA) Radar 2, NROL-25, USA 234, Topaz)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,1107,,4/3/2012,Vandenberg AFB
"FIA Radar 3 (Future Imagery Architecture (FIA) Radar 3, NROL-39 , USA 247, Topaz)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,1081,,12/6/2013,Vandenberg AFB
"FIA Radar 4 (Future Imagery Architecture (FIA) Radar 4, NROL-45, USA 267, Topax)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,1087,,2/10/2016,Vandenberg AFB
"Firebird-A (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Government/Civil,Space Science,886,2,12/6/2013,Vandenberg AFB
"Firebird-B (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Government/Civil,Space Science,886,2,12/6/2013,Vandenberg AFB
"Firebird-C (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Government/Civil,Space Science,667,2,1/31/2015,Vandenberg AFB
"Firebird-D (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Government/Civil,Space Science,675,2,1/31/2015,Vandenberg AFB
Firefly,USA,NASA/Sienna College/Univ. of Maryland,Government/Civil,Earth Science,449,3,11/19/2013,Wallops Island Flight Facility
FLTSATCOM-8 (USA 46),USA,US Navy,Military,Communications,35829,2310,9/25/1989,Cape Canaveral
FORTÉ (Fast On-orbit Recording of Transient Events),USA,Los Alamos National Labs/DOE,Government,Earth Observation,823,215,8/29/1997,Vandenberg AFB
Fox-1A (AO-85),USA,AMSAT-NA,Civil,Communications/Technology Development,802,1,10/8/2015,Cape Canaveral
FUNCube-1 (AO-73),Netherlands,AMSAT-UK,Civil,Communications,683,1,11/21/2013,Dombarovsky Air Base
Galassia,Singapore,National University of Singapore,Civil,Earth Science,549,3,12/16/2015,Satish Dhawan Space Centre
Galaxy-11,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,35795,4488,1/21/1999,Guiana Space Center
Galaxy-12,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,35796,1760,4/9/2003,Guiana Space Center
"Galaxy-13 (Horizons 1, Galaxy 13L)",USA/Japan,"PanAmSat (Intelsat, Ltd.)/Sky Perfect JSAT Corp.",Commercial,Communications,35790,4060,10/1/2003,Sea Launch (Odyssey)
Galaxy-14,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,35795,2086,8/13/2005,Baikonur Cosmodrome
Galaxy-15,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,35795,2033,10/13/2005,Guiana Space Center
Galaxy-16,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,35798,4640,6/18/2006,Sea Launch (Odyssey)
Galaxy-17,USA,"Intelsat, Ltd.",Commercial,Communications,35799,4100,5/4/2007,Guiana Space Center
Galaxy-18,USA,"Intelsat, Ltd.",Commercial,Communications,35798,4642,5/21/2008,Sea Launch (Odyssey)
Galaxy-19,USA,"Intelsat, Ltd.",Commercial,Communications,35796,4690,9/24/2008,Sea Launch (Odyssey)
"Galaxy-25 (G-25, Intelsat 1A-5, Telstar 5)",USA,"Intelsat, Ltd. ",Commercial,Communications,35801,3515,5/24/1997,Baikonur Cosmodrome
"Galaxy-28 (G-28, Intelsat IA-8, Telstar 8)",USA,"Intelsat, Ltd.",Commercial,Communications,35798,5493,6/23/2005,Sea Launch (Odyssey)
Galaxy-3C,USA,"PanAmSat (Intelsat, Ltd.)/DirecTV L.A.",Commercial,Communications,35788,4860,6/15/2002,Sea Launch (Odyssey)
"Galileo FOC FM1 (0201, Galileo 5, PRN E18)",ESA,European Space Agency,Commercial,Navigation/Global Positioning,25971,733,8/22/2014,Guiana Space Center
"Galileo FOC FM10 (0210, Galileo 13, PRN E01)",ESA,European Space Agency,Commercial,Navigation/Global Positioning,23280,723,5/24/2016,Guiana Space Center
"Galileo FOC FM11 (0211, Galileo 14, PRN E02)",ESA,European Space Agency,Commercial,Navigation/Global Positioning,23530,723,5/24/2016,Guiana Space Center
"Galileo FOC FM12 (0212, Galileo 16)",ESA,European Space Agency,Commercial,Navigation/Global Positioning,23055,723,11/17/2016,Guiana Space Center
"Galileo FOC FM13 (0213, Galileo 17)",ESA,European Space Agency,Commercial,Navigation/Global Positioning,22982,723,11/17/2016,Guiana Space Center
"Galileo FOC FM14 (0214, Galileo 18)",ESA,European Space Agency,Commercial,Navigation/Global Positioning,23296,723,11/17/2016,Guiana Space Center
"Galileo FOC FM2 (0202, Galileo 6, PRN E14)",ESA,European Space Agency,Commercial,Navigation/Global Positioning,25918,733,8/22/2014,Guiana Space Center
"Galileo FOC FM3 (0203, Galileo 7, PRN E26)",ESA,European Space Agency,Commercial,Navigation/Global Positioning,23574,723,3/27/2015,Guiana Space Center
"Galileo FOC FM4 (0204, Galileo 8, PRN E22)",ESA,European Space Agency,Commercial,Navigation/Global Positioning,23382,723,3/27/2015,Guiana Space Center
"Galileo FOC FM5 (0205, Galileo 9, PRN E24)",ESA,European Space Agency,Commercial,Navigation/Global Positioning,23240,723,9/11/2015,Guiana Space Center
"Galileo FOC FM6 (0206, Galileo 10, PRN E30)",ESA,European Space Agency,Commercial,Navigation/Global Positioning,23239,723,9/11/2015,Guiana Space Center
"Galileo FOC FM7 (0207, Galileo 15)",ESA,European Space Agency,Commercial,Navigation/Global Positioning,23305,723,11/17/2016,Guiana Space Center
"Galileo FOC FM8 (0208, Galileo 11, PRN E08)",ESA,European Space Agency,Commercial,Navigation/Global Positioning,23618,723,12/17/2015,Guiana Space Center
"Galileo FOC FM9 (0209, Galileo 12, E09)",ESA,European Space Agency,Commercial,Navigation/Global Positioning,23568,723,12/17/2015,Guiana Space Center
"Galileo IOV-1 FM2 (0102, PRN E12)",ESA,European Space Agency,Commerical,Navigation/Global Positioning,23307,700,10/21/2011,Guiana Space Center
"Galileo IOV-1 PFM (0101, PRN E11)",ESA,European Space Agency,Commercial,Navigation/Global Positioning,23306,700,10/21/2011,Guiana Space Center
"Galileo IOV-2 FM3 (0103, PRN E19)",ESA,European Space Agency,Commercial,Navigation/Global Positioning,23233,700,10/12/2012,Guiana Space Center
"Galileo IOV-2 FM4 (0104, PRN E20)",ESA,European Space Agency,Commercial,Navigation/Global Positioning,23227,700,10/12/2012,Guiana Space Center
Gaofen 1,China,Shanghai Academy of Spaceflight Technology (SAST),Government,Earth Observation,654,1000,4/26/2013,Jiuquan Satellite Launch Center
Gaofen 2,China,Shanghai Academy of Spaceflight Technology (SAST),Government,Earth Observation,636,1000,8/19/2014,Taiyuan Launch Center
Gaofen 3,China,State Oceanic Administration (SOA),Government,Earth Observation,759,1000,8/9/2016,Taiyuan Launch Center
Gaofen 4,China,China Aerospace Science and Technology Corporation (CASTC),Government,Earth Observation,35796,4600,12/28/2015,Xichang Satellite Launch Center
Gaofen 8,China,Shanghai Academy of Spaceflight Technology (SAST),Government,Earth Observation,492,1000,6/26/2015,Taiyuan Launch Center
Gaofen 9,China,China Aerospace Science and Technology Corporation (CASTC),Government,Earth Observation,664,1000,9/14/2015,Jiuquan Satellite Launch Center
Garpun-1 (Cosmos 2473),Russia,Ministry of Defense,Military,Communications,35790,5000,9/20/2011,Baikonur Cosmodrome
Garpun-12L (Cosmos 2513),Russia,Ministry of Defense,Military,Communications,35805,5000,12/10/2015,Baikonur Cosmodrome
Garuda-1 (Aces 1),Indonesia/Philippines/Thailand,Asia Cellular Satellite,Commercial,Communications,35801,4291,2/12/2000,Baikonur Cosmodrome
GATOSS (Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance),Denmark,GomSpace ApS,Commercial,Technology Development,819,5,11/21/2013,Dombarovsky Air Base
GEARRSAT-2 (Globalstar Experiment And Risk Reduction Satellite),USA,NearSpace Launch/Air Force Research Laboratory,Government,Technology Development,700,10,5/20/2015,Cape Canaveral
Genesis-1,USA,Bigelow Aerospace,Commercial,Technology Development,569,1360,7/12/2006,Dombarovsky Air Base
Genesis-2,USA,Bigelow Aerospace,Commercial,Technology Development,586,1360,6/28/2007,Dombarovsky Air Base
GEO IK2 (Cosmos 2517),Russia,Ministry of Defense,Military,Earth Science,963,900,6/5/2016,Plesetsk Cosmodrome
GeoEye-1 (Orbview 5),USA,DigitalGlobal Corporation,Commercial/Government,Earth Observation,686,1955,9/6/2008,Vandenberg AFB
Geotail (Geomagnetic Tail Laboratory),Multinational,Institute of Space and Astronautical Science (ISAS)/NASA/ESA,Government,Space Science,191451,980,7/24/1992,Cape Canaveral
"GHGSat-D (Greenhouse Gas Satellite - Demonstrator, Claire)",Canada,"GHGSat, Inc.",Commercial,Earth Science,512,15,6/22/2016,Satish Dhawan
"Global Change Observation Mission - 1 Water (GCOM-1, Shikuzu)",USA/Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,704,1900,5/17/2012,Tanegashima Space Center
Globalstar M004 (Globalstar 4),USA,Globalstar,Commercial,Communications,1412,450,2/14/1998,Cape Canaveral
Globalstar M023 (Globalstar 9),USA,Globalstar,Commercial,Communications,1422,450,2/9/1999,Baikonur Cosmodrome
Globalstar M026 (Globalstar 28),USA,Globalstar,Commercial,Communications,1416,450,7/25/1999,Cape Canaveral
Globalstar M028 (Globalstar 26),USA,Globalstar,Commercial,Communications,1414,450,7/25/1999,Cape Canaveral
Globalstar M031 (Globalstar 44),USA,Globalstar,Commercial,Communications,1478,450,10/18/1999,Baikonur Cosmodrome
Globalstar M037 (Globalstar 16),USA,Globalstar,Commercial,Communications,1417,450,3/15/1999,Baikonur Cosmodrome
Globalstar M039 (Globalstar 45),USA,Globalstar,Commercial,Communications,1416,450,11/22/1999,Baikonur Cosmodrome
Globalstar M040 (Globalstar 10),USA,Globalstar,Commercial,Communications,1416,450,2/9/1999,Baikonur Cosmodrome
Globalstar M056 (Globalstar 43),USA,Globalstar,Commercial,Communications,1414,450,10/18/1999,Baikonur Cosmodrome
Globalstar M059 (Globalstar 42),USA,Globalstar,Commercial,Communications,1415,450,10/18/1999,Baikonur Cosmodrome
Globalstar M063 (Globalstar 49),USA,Globalstar,Commercial,Communications,1414,450,2/8/2000,Cape Canaveral
Globalstar M065 (Globalstar 65),USA,Globalstar,Commercial,Communications,1416,450,5/29/2007,Baikonur Cosmodrome
Globalstar M066 (Globalstar 66),USA,Globalstar,Commercial,Communications,1415,450,10/20/2007,Baikonur Cosmodrome
Globalstar M067 (Globalstar 67),USA,Globalstar,Commercial,Communications,1414,450,10/20/2007,Baikonur Cosmodrome
Globalstar M068 (Globalstar 68),USA,Globalstar,Commercial,Communications,1414,450,10/20/2007,Baikonur Cosmodrome
Globalstar M069 (Globalstar 69),USA,Globalstar,Commercial,Communications,1416,450,5/29/2007,Baikonur Cosmodrome
Globalstar M070 (Globalstar 70),USA,Globalstar,Commercial,Communications,1415,450,10/20/2007,Baikonur Cosmodrome
Globalstar M071 (Globalstar 71),USA,Globalstar,Commercial,Communications,1415,450,5/29/2007,Baikonur Cosmodrome
Globalstar M072 (Globalstar 72),USA,Globalstar,Commercial,Communications,1416,450,5/29/2007,Baikonur Cosmodrome
"Globalstar M073 (Globalstar 73, Globalstar 2-6)",USA,Globalstar,Commercial,Communications,1414,700,10/19/2010,Baikonur Cosmodrome
"Globalstar M074 (Globalstar 74, Globalstar 2-2)",USA,Globalstar,Commercial,Communications,1415,700,10/19/2010,Baikonur Cosmodrome
"Globalstar M075 (Globalstar 75, Globalstar 2-5)",USA,Globalstar,Commercial,Communications,1415,700,10/19/2010,Baikonur Cosmodrome
"Globalstar M076 (Globalstar 76, Globalstar 2-3)",USA,Globalstar,Commercial,Communications,1415,700,10/19/2010,Baikonur Cosmodrome
"Globalstar M077 (Globalstar 77, Globalstar 2-4)",USA,Globalstar,Commercial,Communications,1414,700,10/19/2010,Baikonur Cosmodrome
"Globalstar M078 (Globalstar 95, Globalstar 2-23)",USA,Globalstar,Commercial,Communications,1415,700,2/6/2013,Baikonur Cosmodrome
"Globalstar M079 (Globalstar 79, Globalstar 2-1)",USA,Globalstar,Commercial,Communications,1414,700,10/19/2010,Baikonur Cosmodrome
"Globalstar M080 (Globalstar 80, Globalstar 2-14)",USA,Globalstar,Commercial,Communications,1414,700,12/28/2011,Baikonur Cosmodrome
"Globalstar M081 (Globalstar 81, Globalstar 2-11)",USA,Globalstar,Commercial,Communications,1415,700,7/13/2011,Baikonur Cosmodrome
"Globalstar M082 (Globalstar 82, Globalstar 2-15)",USA,Globalstar,Commercial,Communications,1414,700,12/28/2011,Baikonur Cosmodrome
"Globalstar M083 (Globalstar 83, Globalstar 2-7)",USA,Globalstar,Commercial,Communications,1414,700,7/13/2011,Baikonur Cosmodrome
"Globalstar M084 (Globalstar 84, Globalstar 2-13) ",USA,Globalstar,Commercial,Communications,1414,700,12/28/2011,Baikonur Cosmodrome
"Globalstar M085 (Globalstar 85, Globalstar 2-10)",USA,Globalstar,Commercial,Communications,1415,700,7/13/2011,Baikonur Cosmodrome
"Globalstar M086 (Globalstar 86, Globalstar 2-18)",USA,Globalstar,Commercial,Communications,1414,700,12/28/2011,Baikonur Cosmodrome
"Globalstar M088 (Globalstar 88, Globalstar 2-8)",USA,Globalstar,Commercial,Communications,1415,700,7/13/2011,Baikonur Cosmodrome
"Globalstar M089 (Globalstar 89, Globalstar 2-12)",USA,Globalstar,Commercial,Communications,1415,700,7/13/2011,Baikonur Cosmodrome
"Globalstar M090 (Globalstar 90, Globalstar 2-17)",USA,Globalstar,Commercial,Communications,1414,700,12/28/2011,Baikonur Cosmodrome
"Globalstar M091 (Globalstar 91, Globalstar 2-9)",USA,Globalstar,Commercial,Communications,1415,700,7/13/2011,Baikonur Cosmodrome
"Globalstar M092 (Globalstar 92, Globalstar 2-16)",USA,Globalstar,Commercial,Communications,1414,700,12/28/2011,Baikonur Cosmodrome
"Globalstar M093 (Globalstar 87, Globalstar 2-20)",USA,Globalstar,Commercial,Communications,1415,700,2/6/2013,Baikonur Cosmodrome
"Globalstar M094 (Globalstar 93, Globalstar 2-21)",USA,Globalstar,Commercial,Communications,1414,700,2/6/2013,Baikonur Cosmodrome
"Globalstar M095 (Globalstar 96, Globalstar 2-24)",USA,Globalstar,Commercial,Communications,1414,700,2/6/2013,Baikonur Cosmodrome
"Globalstar M096 (Globalstar 94, Globalstar 2-22)",USA,Globalstar,Commercial,Communications,1414,700,2/6/2013,Baikonur Cosmodrome
"Globalstar M097 (Globalstar 78, Globalstar 2-19)",USA,Globalstar,Commercial,Communications,1391,700,2/6/2013,Baikonur Cosmodrome
"Glonass 701 (Glonass-K, Cosmos 2471)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19146,935,2/26/2011,Plesetsk Cosmodrome
"Glonass 702 (Glonass K, Cosmos 2501)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19178,935,12/1/2014,Plesetsk Cosmodrome
Glonass 714 (Cosmos 2419),Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19125,1480,12/25/2005,Baikonur Cosmodrome
"Glonass 715 (Glonass 35-1, Cosmos 2424)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19130,1480,12/25/2006,Baikonur Cosmodrome
"Glonass 716 (Glonass 35-2, Cosmos 2425)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19130,1480,12/25/2006,Baikonur Cosmodrome
"Glonass 717 (Glonass 35-3, Cosmos 2426)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19130,1480,12/25/2006,Baikonur Cosmodrome
"Glonass 719 (Glonass 36-2, Cosmos 2432)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19171,1480,10/26/2007,Baikonur Cosmodrome
"Glonass 720 (Glonass 36-3, Cosmos 2433)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19133,1480,10/26/2007,Baikonur Cosmodrome
"Glonass 721 (Glonass 37-1, Cosmos 2435)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19378,1480,12/25/2007,Baikonur Cosmodrome
"Glonass 723 (Glonass 37-3, Cosmos 2436)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19365,1480,12/25/2007,Baikonur Cosmodrome
"Glonass 730 (Glonass 41-1, Cosmos 2456)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19419,1415,12/14/2009,Baikonur Cosmodrome
"Glonass 731 (Glonass 42-1, Cosmos 2459)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19146,1415,3/1/2010,Baikonur Cosmodrome
"Glonass 732 (Glonass 42-3, Cosmos 2460)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19133,1415,3/1/2010,Baikonur Cosmodrome
"Glonass 733 (Glonass 41-2, Cosmos 2457)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19130,1415,12/14/2009,Baikonur Cosmodrome
"Glonass 734 (Glonass 41-3, Cosmos 2458)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19129,1415,12/14/2009,Baikonur Cosmodrome
"Glonass 735 (Glonass 42-2, Cosmos 2461)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19135,1415,3/1/2010,Baikonur Cosmodrome
"Glonass 736 (Glonass 43-1, Cosmos 2464)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19123,1415,9/2/2010,Baikonur Cosmodrome
"Glonass 737 (Glonass 43-2, Cosmos 2465)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19380,1415,9/2/2010,Baikonur Cosmodrome
"Glonass 742 (Glonass-M, Cosmos 2474)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19158,1415,10/2/2011,Plesetsk Cosmodrome
"Glonass 743 (Glonass 44-2, Cosmos 2476)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19204,1415,11/4/2011,Baikonur Cosmodrome
"Glonass 744 (Glonass 44-3, Cosmos 2477)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19199,1415,11/4/2011,Baikonur Cosmodrome
"Glonass 745 (Glonass 44-1, Cosmos 2475)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19212,1415,11/4/2011,Baikonur Cosmodrome
"Glonass 747 (Glonass-M, Cosmos 2485)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19173,1415,4/26/2013,Plesetsk Cosmodrome
"Glonass 751 (Glonass-M, Cosmos 2514)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19154,1415,2/7/2016,Plesetsk Cosmodrome
"Glonass 753 (Glonass-M, Cosmos 2516)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19153,1415,5/29/2016,Plesetsk Cosmodrome
"Glonass 754 (Glonass-M, Cosmos 2491, RS-46)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19177,1415,3/23/2014,Plesetsk Cosmodrome
"Glonass 755 (Glonass-M, Cosmos 2500)",Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,19146,1415,6/14/2014,Plesetsk Cosmodrome
"GOES 13 (Geostationary Operational Environmental Satellite, GOES-N)",USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,35801,3200,5/24/2006,Cape Canaveral
"GOES 14 (Geostationary Operational Environmental Satellite, GOES-O)",USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,35170,3200,6/27/2009,Cape Canaveral
"GOES 15 (Geostationary Operational Ennvironmental Satellite, GOES-P)",USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,35788,3175,3/4/2010,Cape Canaveral
GOES 16 (Geostationary Operational Environmental Satellite GOES-R),USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,35795,5192,11/19/2016,Cape Canaveral
Göktürk 1,Turkey,Turkish Ministry of National Defense,Military,Earth Observation,683,1060,12/5/2016,Guiana Space Center
Göktürk 2,Turkey,Turkish Ministry of National Defense,Military,Earth Observation,690,409,12/18/2012,Jiuquan Satellite Launch Center
Gonets D1-14,Russia,Gonets Satcom,Commercial/Government,Communications,1413,240,2/19/1996,Plesetsk Cosmodrome
Gonets M-03,Russia,Gonets Satcom,Commercial/Government,Communications,1510,270,7/28/2012,Plesetsk Cosmodrome
Gonets M-04,Russia,Gonets Satcom,Commercial/Government,Communications,1511,270,7/28/2012,Plesetsk Cosmodrome
Gonets M-05,Russia,Gonets Satcom,Commercial/Government,Communications,1510,270,9/8/2010,Plesetsk Cosmodrome
Gonets M-11 (Gonets M21),Russia,Gonets Satcom,Commercial/Government,Communications,1508,280,3/31/2015,Plesetsk Cosmodrome
Gonets M-12 (Gonets M22),Russia,Gonets Satcom,Commercial/Government,Communications,1506,280,3/31/2015,Plesetsk Cosmodrome
Gonets M-13 (Gonets M23),Russia,Gonets Satcom,Commercial/Government,Communications,1504,280,3/31/2015,Plesetsk Cosmodrome
Gonets M-14,Russia,Gonets Satcom,Commercial/Government,Communications,1507,270,9/11/2013,Plesetsk Cosmodrome
Gonets M-16,Russia,Gonets Satcom,Commercial/Government,Communications,1508,270,9/11/2013,Plesetsk Cosmodrome
Gonets M-17,Russia,Gonets Satcom,Commercial/Government,Communications,1509,270,9/11/2013,Plesetsk Cosmodrome
Gonets M-18,Russia,Gonets Satcom,Commercial/Government,Communications,1510,280,7/3/2014,Plesetsk Cosmodrome
Gonets M-19,Russia,Gonets Satcom,Commercial/Government,Communications,1512,280,7/3/2014,Plesetsk Cosmodrome
Gonets M-20,Russia,Gonets Satcom,Commercial/Government,Communications,1509,280,7/3/2014,Plesetsk Cosmodrome
GPM Core Observatory (Global Precipitation Measurement),USA/Japan,NASA/JAXA,Government,Earth Observation,409,3850,2/27/2014,Tanegashima Space Center
